,,,,,,,FWR D1,,100 RPM
,,R = 5 Ohm,,,,,,,
,,,,,,,,,
,,uF,mW,mW,,,,,
,,C,Po,Pi,,,,,
,1,330,"75,396","318,035",,,,,
,2,430,"81,715","328,475",,,,,
,3,530,"87,602","339,414",,,,,
,4,630,"89,164","339,715",,,,,
,5,730,"85,290","333,373",,,,,
,6,830,"83,861","331,237",,,,,
,7,,,,,,,,
,8,,,,,,,,
,9,,,,,,,,
,10,,,,,,,,
,11,,,,,,,,
,12,,,,,,,,
,13,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,C = 630 uF,,,,,,,
,,Ohm,mW,mW,,,,,
,,R,Po,Pi,,,,,
,1,3,"76,623","381,131",,,,,
,2,4,"86,790","363,467",,,,,
,3,5,"89,284","341,982",,,,,
,4,6,"90,450","322,266",,,,,
,5,7,"91,395","304,756",,,,,
,6,8,"91,008","289,514",,,,,
,7,9,"90,259","273,883",,,,,
,8,10,"89,090","261,595",,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,From Simulations,,,,,,,,
,RL,6,Ohm,,,,,,
100rpm,CL,360,uF,,,,,,
