,,,,,,,FWR D tutti in parallelo,,100 RPM
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,R = 5 ohm,,,,,,,
,,C = 630 uF,,,,,,,
,,Ohm,mW,,,,,,
,,R,Po,,,,,,
,1,100,"148,722",,,,,,
,2,150,"430,397",,,,,,
,3,200,"840,144",,,,,,
,4,250,"1,339,088",,,,,,
,5,300,"1,906,131",,,,,,
,6,350,"2,485,999",,,,,,
,7,400,"3,106,791",,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,R = 5 ohm,,,,,,,
,,C = 47 uF,,,,,,,
,,Ohm,mW,,,,,,
,,R,Po,,,,,,
,,100,"64,545",,,,,,
,,150,"277,332",,,,,,
,,200,"676,425",,,,,,
,,250,"1,236,093",,,,,,
,,300,"1,969,002",,,,,,
,,350,"2,691,710",,,,,,
,,400,"3,681,635",,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,From Simulations,,,,,,,,
,RL,6,Ohm,,,,,,
100rpm,CL,360,uF,,,,,,
