,,,,,,,,,,,,,,,,
1x3Y,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
 ,,R = 16 Ohm,CL = 630 uF,,CL = 530 uF        ,,CL = 430 uF,,CL = 330 uF,,CL = 200 uF        ,,CL = 100 uF,,CL = 47 uF,
,,uF,mW,mW,mW,mW,mW,mW,mW,mW,mW,mW,mW,mW,mW,mW
,,rpm,Po,Pi,Po,Pi,Po,Pi,Po,Pi,Po,Pi,Po,Pi,Po,Pi
,1,100,"20,4383","50,2063","20,3413","49,8765","19,6403","48,6481","18,9886","47,6335","17,1955","44,1034","11,1425","32,3641","5,477","19,9382"
,2,150,"45,5972","98,5433","47,5442","101,7972","48,3461","103,1067","48,6795","104,0445","47,3207","102,7071","37,7849","87,328","23,5291","62,5222"
,3,200,"75,1098","151,1722","78,8929","157,9184","82,121","162,7092","83,831","165,8806","84,6557","169,679","79,595","164,6236","58,2643","132,954"
,4,250,"106,4137","204,5047","111,7927","213,8729","116,7513","221,5491","119,8528","226,41","123,3461","235,7545","129,3552","250,2065","109,5704","228,1403"
,5,300,"137,5399","255,5301","144,1933","266,8344","150,0807","276,3488","153,8286","281,9791","159,09","295,4672","176,8926","328,8214","169,4387","331,9851"
,6,350,"167,9328","306,5823","175,6944","318,7434","182,9981","329,8994","186,7792","335,9534","194,1073","352,1394","220,832","400,2882","233,4971","439,0673"
,7,400,"197,052","353,0103","205,1922","365,8732","213,1411","378,0482","217,5789","383,9068","225,8334","402,2399","258,7259","459,5935","292,4727","533,6013"
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,R = inf,CL = 630 uF,,,CL = 47 uF,,,,,,,,,,
,,,V,V,V,V,V,V,,,,,,,,
,,rpm,Vo,HF ripple,LF ripple,Vo,HF ripple,LF ripple,,,,,,,,
,,100,"1,98","0,012",,"1,98","0,011","0,038",,,,,,,,
,,150,"2,83","0,012",,"2,82","0,011",,,,,,,,,
,,200,"3,67","0,011",,"3,66","0,012",,,,,,,,,
,,250,"4,51","0,012",,"4,51","0,012",,,,,,,,,
,,300,"5,32","0,012",,"5,32","0,011",,,,,,,,,
,,350,"6,17","0,011",,"6,17","0,011",,,,,,,,,
,,400,"7,04","0,012",,"7,03","0,012",,,,,,,,,
