,,,,,,,,,
,,,,,,,1x3Y,,100 RPM
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,C = 630 uF,,,,,,,
,,Ohm,mW,mW,,,,,
,,R,Po,Pi,,,,,
,1,3,"45,0254",,,,,,
,2,4,"46,2523",,,,,,
,3,5,"47,3998",,,,,,
,4,6,"48,279",,,,,,
,5,7,"48,3566",,,,,,
,6,8,"48,3402",,,,,,
,7,9,"47,3302",,,,,,
,8,10,,,,,,,
,,11,,,,,,,
,,12,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,From Simulations,,,,,,,,
,RL,6,Ohm,,,,,,
100rpm,CL,360,uF,,,,,,
