,,,,,,,,,
,,,,,,,1x3Y,,100 RPM
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,R = 7,,,,,,,
,,C = 630 uF,,,,,,,
,,Ohm,mW,mW,,,,,
,,R,Po,Pi,,,,,
,1,100,"47,5646",,,,,,
,2,150,"107,5265",,,,,,
,3,200,"175,4865",,,,,,
,4,250,"245,0959",,,,,,
,5,300,"312,8417",,,,,,
,6,350,"374,5425",,,,,,
,7,400,"433,3099",,,,,,
,8,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,R = 7,,,,,,,
,,C 47 uF,,,,,,,
,,Ohm,mW,mW,,,,,
,,R,Po,Pi,,,,,
,1,100,"8,6523",,,,,,
,2,150,"39,4223",,,,,,
,3,200,"100,7726",,,,,,
,4,250,"199,6428",,,,,,
,5,300,"339,7354",,,,,,
,6,350,"507,3992",,,,,,
,7,400,"677,2469",,,,,,
,8,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
100rpm,,,,,,,,,
