,,,,,,NVC1,,100 RPM
,,,,,,,,
,R = 20 Ohm,,,,,,,
,uF,mW,mW,,,,,
,C,Po,Pi,,,,,
1,100,"139,166","243,533",,,Tutti i valori di ponenza vanno divisi per 10,,
2,200,"213,671","329,446",,,,,
3,330,"213,847","331,023",,,,,
4,430,"218,787","331,352",,,,,
5,530,"216,728","330,905",,,,,
6,630,"214,902","319,846",,,,,
7,730,"212,041","314,907",,,,,
8,830,"211,455","315,241",,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,C = 430 uF,,,,,,,
,Ohm,mW,mW,,,,,
,R,Po,Pi,,,,,
,18,"214,456","338,595",,,,,
,19,"21,54","337,066",,,,,
,20,"216,029","333,403",,,,,
,21,"216,094","330,535",,,,,
,22,"216,345","327,253",,,,,
,23,"216,949","324,336",,,,,
,24,"21,771","321,649",,,,,
,25,"218,601","315,898",,,,,
,26,"216,938","315,573",,,,,
,27,"21,687","308,935",,,,,
,28,"214,842","308,568",,,,,
,29,"212,407","296,557",,,,,
,30,"213,871","303,302",,,,,
,,,,,,,,
,,,,,,,,
