,,,,,,,,,,,,
NVC1,,,,,,,,,,,,
,,,,,,,,,,,,
 ,,R = 24 Ohm,CL = 430 uF,,CL = 330 uF,,CL = 200 uF        ,,CL = 100 uF,,CL = 47 uF,
,,uF,mW,mW,mW,mW,mW,mW,mW,mW,mW,mW
,,rpm,Po,Pi,Po,Pi,Po,Pi,Po,Pi,Po,Pi
,1,100,"22,5441","33,0794","22,4484","33,0162","22,237","32,8233","15,0196","24,799","6,7455","14,2699"
,2,150,"47,0499","63,3904","46,8711","63,255","47,3067","63,9554","44,9907","64,344","30,3036","47,0567"
,3,200,"72,9878","94,2814","72,8348","94,0609","73,8053","95,4547","80,8427","108,7155","71,0311","100,372"
,4,250,"97,3926","122,337","97,0536","122,0943","98,6034","124,1107","131,9811","147,9948","119,0619","159,3804"
,5,300,"123,042","151,3981","122,7463","151,1025","124,4797","153,4068","147,6066","186,5821","170,0987","220,139"
,6,350,"148,4621","180,0439","148,0113","179,6155","150,1617","182,3761","181,2953","226,1569","226,1011","289,5792"
,7,400,"177,2804","212,8146","177,2099","212,5652","180,4061","216,6702","221,3496","274,7434","287,8479","376,1286"
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,R = inf,CL = 430 uF,,,,,,,,,
,,,V,V,V,,,,,,,
,,rpm,Vo,HF ripple,LF ripple,,,,,,,
,,100,"1,82","0,32",,,,,,,,
,,150,"2,25","0,314",,,,,,,,
,,200,"3,4","0,397",,,,,,,,
,,250,"3,6","0,456",,,,,,,,
,,300,"3,15","0,517","0,838",,,,,,,
,,350,"3,1","0,434","0,723",,,,,,,
,,400,"3,12","0,398","0,65",,,,,,,
