,,,,,,,,,,,,
NVC3,,,,,,,,,,,,
,,,,,,,,,,,,
 ,,R = 21 Ohm,CL = 430 uF,,CL = 330 uF,,CL = 200 uF        ,,CL = 100 uF,,CL = 47 uF,
,,uF,mW,mW,mW,mW,mW,mW,mW,mW,mW,mW
,,rpm,Po,Pi,Po,Pi,Po,Pi,Po,Pi,Po,Pi
,1,100,"18,4568","25,4994","18,1678","26,1436","18,2953","26,1602","11,9299","19,5764","6,7836","14,374"
,2,150,"35,9005","46,6008","36,7541","48,4023","37,0688","48,4442","37,2239","51,1439","28,1674","47,5385"
,3,200,"55,6874","69,3006","57,0963","71,984","57,5861","72,0322","67,8566","87,3981","63,5425","80,5172"
,4,250,"76,6463","92,7288","78,5914","96,1767","79,0661","96,1115","98,5006","122,1291","87,9643","107,9136"
,5,300,"96,5324","114,5679","98,6903","118,4137","99,1909","118,2813","125,5984","152,0051","110,2023","132,3167"
,6,350,"116,1354","135,7203","118,5912","140,1092","119,0624","139,8136","150,7551","179,4401","131,6774","155,6113"
,7,400,"134,4762","155,3961","137,284","260,307","137,7494","159,9039","174,037","204,7396","151,7686","177,2428"
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,R = inf,CL = 430 uF,,,,,,,,,
,,,V,V,V,,,,,,,
,,rpm,Vo,HF ripple,LF ripple,,,,,,,
,,100,"1,75","0,282",,,,,,,,
,,150,"2,15","0,283",,,,,,,,
,,200,"3,5","0,373",,,,,,,,
,,250,"3,55","0,405",,,,,,,,
,,300,"3,55","0,409",,,,,,,,
,,350,"3,1","0,435",,,,,,,,
,,400,"3,1","0,385",,,,,,,,
