NVC tutti in parallelo,,,,,,,,,,,,
,,,,,,,,,,,,
 ,,,CL = 430 uF,,CL = 330 uF,,CL = 200 uF        ,,CL = 100 uF,,CL = 47 uF,
,,R = 6 Ohm,mW,mW,mW,mW,mW,mW,mW,mW,mW,mW
,,rpm,Po,Pi,Po,Pi,Po,Pi,Po,Pi,Po,Pi
,1,100,"577,051","1,015,897","568,574","1,017,819","56,887","1,022,037","433,322","832,533","280,937","609,633"
,2,150,"1,161,486","1,876,022","1,201,984","1,967,897","1,216,074","1,993,338","1,181,846","2,004,074","940,781","166,068"
,3,200,"1,806,061","2,787,135","1,889,706","295,1","1,914,886","2,994,558","2,081,096","3,364,592","1,870,064","3,131,519"
,4,250,"2,472,505","3,705,191","2,589,969","3,921,139","2,616,579","3,966,523","3,026,508","4,720,855","3,005,614","487,07"
,5,300,"308,963","4,530,076","3,234,652","4,786,681","3,250,549","481,765","3,807,637","5,788,334","4,144,403","6,519,585"
,6,350,"368,306","532,056","3,853,597","5,613,207","3,868,507","563,969","4,499,171","6,709,435","5,170,465","7,930,267"
,7,400,"4,256,729","6,074,506","4,442,665","6,387,661","4,443,649","639,554","5,110,765","7,518,051","6,030,358","9,091,755"
